이름,테마,주재료,런치 주재료,디너 주재료,런치가격,디너가격,가격,위치,평점,간략한 소개,코스여부
봉밀가,한식,"메밀, 돼지고기",,,,,17000,강남구,4.4,냉면 전문점,X
세븐스도어,한식,,"랍스터, 소고기, 캐비어, 트러플, 스테이크","랍스터, 스테이크, 캐비어, 트러플, 소고기",195000,320000,,강남구,4.5,한식 파인다이닝,O
텐지몽,일식,,"민어, 한우, 장어,오리, 소고기","민어, 한우, 장어,오리, 소고기",150000,230000,,강남구,4.4,일식 파인다이닝,O
톡톡,양식,,"문어, 트러플, 돼지고기, 치즈, 관자","문어, 관자, 새우, 돼지고기, 치즈",120000,180000,,강남구,4.4,양식 파인다이닝,O
이치류,아시안식,양고기,,,,,30000,마포구,4.5,양고기 바베큐 전문점,X
코자차,아시안식,,"전복, 새우, 랍스터, 샥스핀, 굴","전복, 새우, 랍스터, 샥스핀, 굴",150000,250000,,강남구,4.3,아시안 전문점,O
오레노 라멘,일식,"닭가슴살, 계란, 목이버섯",,,,,12000,마포구,4.6,라멘 전문점,X
쉐시몽,양식,,"새우, 대게, 생선, 소고기, 버섯","광어, 대게, 돼지고기, 생선, 소고기",70000,98000,,마포구,4.7,프렌치 레스토랑,O
진진,중식,돼지고기,,,,,26000,마포구,4.2,중식당,X
옥동식,한식,"돼지곰탕, 만두",,,,,15000,마포구,4.3,돼지 곰탕 전문점,X
담택,일식,"닭, 새우, 표고버섯",,,,,10000,마포구,4.5,라멘 전문점,X
해남천일관,한식,,"홍어, 소고기, 낙지, 버섯, 갈치","홍어, 소고기, 낙지, 버섯, 갈치",170000,170000,,서초구,4.5,한식 전문점,O
미필담,한식,"양지고기, 밀가루",,,,,11000,마포구,4.5,손만둣국 전문점,X
교다이야,일식,"우동, 새우, 소바, 튀김",,,,,13000,마포구,4.3,우동 전문점,X
테이블 포 포,한식,,"광어, 한치, 농어, 한우","광어, 한치, 농어, 한우",90000,160000,,서초구,4.4,컨템퍼러리,O
정인면옥,한식,"메밀, 오이, 소고기, 계란",,,,,15000,영등포구,4,평양냉면 전문점,X
합정옥,한식,"양지, 사골",,,,,11000,마포구,4,곰탕 전문점,X
곰바위,한식,"소고기, 대창, 막창, 갈비",,,,,55000,강남구,4.1,한식 고기구이 레스토랑,X
외고집 설렁탕,한식,소고기,,,,,16000,강남구,4.2,설렁탕 전문점,X
레스토랑 알렌,양식,,"생선, 캐비어, 버섯, 돼지고기, 치즈","생선, 전복, 오리, 장어, 캐비어",180000,300000,,강남구,4.5,컨템퍼러리 파인다이닝,O
팀호완,중식,"새우, 밀가루",,,,,11000,강남구,4,딤섬 전문점,X
줄라이,퓨전식,,"파스타, 소고기, 관자, 성게알, 장어","파스타, 소고기, 관자, 성게알, 장어",90000,160000,,서초구,4.2,프렌치 음식점,O
이타닉 가든,한식,,"인삼, 더덕, 캐비어, 두부","인삼, 더덕, 캐비어, 두부",190000,320000,,강남구,4.7,이노베이티브,O
보름쇠,한식,"소고기, 버섯",,,,,200000,강남구,4.1,소고기 전문점,X
양양 메밀 막국수,한식,"메밀, 들깨",,,,,10000,서초구,4.1,막국수 전문점,X
화해당,한식,"간장게장, 우럭, ",,,,,50000,영등포구,4.2,게 요리 전문점,X
스바루,일식,"새우, 돼지고기",,,,,20000,서초구,4.1,소바 전문점,X
미나미,일식,"메밀, 청어, 새우, 우니",,,,,20000,서초구,3.9,소바 전문점,X
일 베키오,양식,,"호박, 당근, 도미, 안심, 초콜릿",,85000,,,마포구,2.2,이탈리안 파인다이닝,O
버드나무집,한식,"생갈비, 양념갈비, 냉면",,,,,100000,서초구,4.1,한식 소고기 전문점,X
삼청동 수제비,한식,"감자, 들깨",,,,,11000,종로구,4,수제비 전문점,X
봉산옥,한식,"소고기, 양배추, 숙주, 파",,,,,15000,서초구,4.3,만두 전문점,X
에쌍스,양식,"닭, 모렐 버섯",,,,,50000,서초구,4.3,프렌치 레스토랑,X
임병주 산동 칼국수,한식,"칼국수, 만두, 보쌈, 족발",,,,,11000,서초구,4.1,국수 전문점,X
백년옥,한식,두부,,,,,13000,서초구,3.9,두부 전문점,X
쿠시카와,일식,,"버섯, 새우, 방어, 소고기, 닭","새우, 소고기, 버섯, 돼지고기, 장어",55000,120000,,강남구,4.3,쿠시카와 오마카세,O
스테이,양식,,"빵, 수박, 등심",,125000,,,송파구,4.4,프렌치 파인다이닝,O
비채나,한식,,"게, 장어, 소고기, 편육","게, 장어, 소고기, 편육",170000,275000,,송파구,4.4,한식 전문점,O
벽제갈비,한식,소고기,,,,,100000,송파구,4,갈비 전문 음식점,X
옥돌현옥,한식,"메밀, 가자미, 돼지고기, 계란",,,,,30000,송파구,4.3,평양냉면 전문점,X
